,idx,category,section,name,score,map_link,road_adr,y,x,image_url,model_score,rank_index,model_rank
0,0,FOOD,A,참멜,4.7,https://place.map.kakao.com/166988393,제주특별자치도 제주시 서사로 2-1 1층,33.512033,126.5190407,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE3D0159AD352493DB625F53FDB18F8AC,80.05809452,1,A
1,1,CAFE,B,원앤온리,4,https://place.map.kakao.com/217787831,제주특별자치도 서귀포시 안덕면 산방로 141,33.23923,126.3192943,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5609B05083C45A996FA6DD11C2CE438,70.45421823,2,A
2,2,FOOD,C,고이정 본점,4.5,https://place.map.kakao.com/2030021121,제주특별자치도 제주시 애월읍 애월로 6 A동 1층,33.4594051,126.3115167,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F43603f43eccf7bff7e06181dd9b5235d596a8b21,68.95930997,3,A
3,3,FOOD,A,제주김만복 본점,3.7,https://place.map.kakao.com/1046180098,제주특별자치도 제주시 오라로 41,33.4968071,126.5111965,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_58973654,65.70942274,4,A
4,4,CAFE,D,카페라라라,4.8,https://place.map.kakao.com/734323672,제주특별자치도 제주시 구좌읍 해맞이해안로 1430 1층,33.5248808,126.8580469,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Ffd1b105b4997dc14d97ff84ec90bf5dfd1ed0bda,65.29234718,5,A
5,5,FOOD,A,충민정,4.7,https://place.map.kakao.com/1728065244,제주특별자치도 제주시 남성로 26-1,33.5025067,126.5132852,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0E6D084FC5C04290841FC0C8D5569C5B,64.58556151,6,A
6,6,FOOD,C,제주광해 애월본점,4.8,https://place.map.kakao.com/41973236,제주특별자치도 제주시 애월읍 애월해안로 867 2층,33.4877248,126.3904885,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD5CC58EAB45E482691251CA20368791F,63.29298171,7,A
7,7,FOOD,B,복자씨연탄구이,4.4,https://place.map.kakao.com/18678487,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.4692355,126.9198688,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F80123C10CEDA48B09E50E5FAA6C44E4C,63.24652802,8,A
8,8,FOOD,B,돈이랑,4.4,https://place.map.kakao.com/26586223,제주특별자치도 서귀포시 일주서로 953,33.257733,126.4087182,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1E6AAF09F0EF4CC7AF17AEBE7E696F10,63.20577758,9,A
9,9,FOOD,D,램하우스,4.9,https://place.map.kakao.com/471417273,제주특별자치도 제주시 조천읍 교래1길 45,33.4362496,126.6736319,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fba71a9d9934461044e037918e43c3c45fd3d60fc,61.62496086,10,A
10,10,FOOD,B,오는정김밥,3.3,https://place.map.kakao.com/8453998,제주특별자치도 서귀포시 동문동로 2,33.2496757,126.5675722,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23101E48521BFA4C07,61.13668765,11,A
